Title,Year,Languages,Suggestion ID,Suggestions
RRR (Hindi),2022,"Unknown, Spanish, Hindi, Portuguese, Turkish",81476453,"80203996, 80204117, 81244367, 81157385, 81144150, 81519291, 80164778, 80104648, 81497215, 81493411, 81727155, 81227047"
Raees,2017,Hindi,80164778,"80091866, 80017528, 70059026, 81493411, 70000196, 70224999, 81244367, 81144150, 80104648, 81476453, 60036750, 70083535"
Animal,2023,"English, Hindi, Kannada, Malayalam, Tamil, Telugu",81436990,"81727155, 81493411, 81698397, 80204117, 81639323, 81671215, 80104648, 81476453, 81637260, 81754779, 80203996, 81157385"
Dunki,2023,Hindi,81731618,"81671215, 81732726, 81493411, 81672746, 80091866, 81760391, 81144147, 81631011, 81722145, 81730920, 81382254, 81572875"
Dilwale,2015,Hindi,80091866,"60036752, 80017528, 60036750, 70000196, 70219526, 80164778, 70083535, 60036735, 70276515, 70059026, 70057651, 80206847"
Don,2006,Hindi,70059026,"70224999, 80017528, 80091866, 80164778, 70229046, 70000196, 80104648, 81144150, 81493411, 70229498, 81244367, 81189912"
Sooryavanshi,2021,"English, Spanish, Hindi, Kannada, Malayalam, Tamil, Telugu",81144150,"80057278, 70229043, 81157385, 70295762, 80104648, 81476453, 81244369, 80159955, 80017528, 81242574, 80164778, 81698397"
Katteri,2022,Tamil,81632774,"81632775, 81704206, 81640341, 81632777, 81699650, 81644920, 81496130, 81435636, 81088083, 81151877, 81644285, 81760372"
Conjuring Kannappan (Telugu),2023,Telugu,81754783,"81704206, 81632775, 81678103, 81754785, 81504461, 81052275, 81725766, 81597037, 81496132, 81588444, 81177374, 81671559"
Ghost Stories,2020,"English, Spanish, Hindi, Portuguese, Tamil, Telugu, Turkish",81088083,"81029150, 81267359, 81644920, 81496130, 80996338, 81151880, 81061353, 80245450, 81061789, 70037493, 81683124, 81760372"
Wild Wild Punjab,2024,"English, Spanish, Spanish, French, Hindi, Portuguese, Tamil, Telugu",81730408,"81672746, 81630998, 81760391, 81281426, 70276514, 81285617, 70278990, 81177241, 81641718, 81332225, 81267359, 81249783"
Kumari,2022,Malayalam,81644920,"81496130, 81088083, 81029150, 81061789, 81061353, 81267359, 81504461, 81151880, 81632775, 81496132, 81640341, 70037493"
Tillu Square,2023,"Hindi, Kannada, Malayalam, Tamil, Telugu",81671559,"81760391, 81678103, 81715677, 81514146, 81052275, 81252029, 81671565, 81637260, 81727155, 81639320, 81508702, 81382265"
Boomika (Hindi),2021,Hindi,81496130,"81151880, 81088083, 81267359, 81061353, 81029150, 81644920, 70037493, 81061789, 81683124, 80996338, 81243747, 80245450"
